ID,Vendor,Text
116,alexa term of use,amcs llc amcs an affiliate of amazon may offer you certain alexa related communication service such a the ability to send and receive message and call and connect with other alexa user and the ability to place outbound call to phone number collectively alexa communication
117,alexa term of use,this schedule is part of the alexa term of use and you agree to these term when you register for or use alexa communication
118,alexa term of use,your use of alexa communication is also subject to the alexa communication usage guideline which are part of this schedule
119,alexa term of use,amcs and it affiliate may offer service other than alexa communication which are not covered by this schedule and may be subject to other term
121,alexa term of use,1 1 general your message communication request g alexa call mom and related interaction are alexa interaction a described in the alexa term of use
122,alexa term of use,amazon process and retains your alexa interaction and related information in the cloud in order to respond to your request g send message to mom to provide additional functionality g speech to text transcription and vice versa and to improve our service
123,alexa term of use,we also store your message in the cloud so that they re available on your alexa app and select alexa enabled product
124,alexa term of use,you can enable enhanced communication feature such a group drop in in the alexa app
125,alexa term of use,when enabled we will de crypt process and then re encrypt your audio and video call in the cloud
126,alexa term of use,we do not retain the audio or any information about the content of your call
127,alexa term of use,you or other call participant may be able to ask alexa to help with certain function during call such a alexa volume up and alexa hang up certain alexa communication service are provided by our third party service provider and we may provide them with information such a telephone number to provide those service
128,alexa term of use,alexa communication is only available on select alexa enabled product and feature may vary learn more
130,alexa term of use,1 2 registration you provide your phone number when registering for alexa communication
131,alexa term of use,amcs will verify this number by sending you an sm message carrier charge may apply
132,alexa term of use,other user who know your contact detail will be able to contact you using alexa communication
133,alexa term of use,your registration name and contact detail may be used to identify you to other user such a when you send message to recipient who doe not already have your contact detail
134,alexa term of use,your phone number also may be displayed a caller id on your outbound call to phone number
136,alexa term of use,1 3 contact amazon will periodically import and store your contact to improve your alexa communication experience
137,alexa term of use,amazon us information about your contact and connection including who you communicate with the most to provide and improve our service
138,alexa term of use,for example we use this information to identify most likely call recipient g when you ask alexa call bill alexa can better identify which bill you want to contact
140,alexa term of use,1 4 no access to emergency service alexa communication are not replacement for traditional two way telephone or mobile phone service and do not function a such
141,alexa term of use,you acknowledge that you cannot use alexa communication to access emergency service such a 911
142,alexa term of use,alexa communication are not designed or intended to be used to send or receive emergency communication to any police fire department hospital or any other service that connects user to public safety answering point
143,alexa term of use,you should ensure you can contact your relevant emergency service provider through mobile landline telephone or other service
145,alexa term of use,1 5 drop in the optional drop in feature allows permissioned user to instantly connect to your alexa enabled product for voice or video chat without you needing to take any action
146,alexa term of use,if you grant drop in permission to yourself anyone in your household also receives drop in permission
147,alexa term of use,and if you grant drop in permission to contact anyone in that contact household also receives drop in permission
148,alexa term of use,user with drop in permission may see an indicator to let them know if your device ha been recently active
149,alexa term of use,this indicator is based on your alexa interaction and motion sensor on echo show learn more
151,alexa term of use,1 6 fee amcs doe not currently charge fee for alexa communication but reserve the right to place limitation on use of certain service or feature including subscription or other fee
152,alexa term of use,you and or the recipient of your call or message may be required to pay carrier fee for data usage
153,alexa term of use,amcs ha no responsibility for such fee
